ISO3,Country,Latitude,Longitude,Planned/ managed camp,Collective center,Individual accommodation (private),Self-settled camp,Reception/ transit camp,Undefined/ unknown,Total,,,,,
SWA,Swaziland,-26.522503,31.465866, 	-   , 	-   , 	344 , 	-   , 	163 , 	-   , 	507 ,,,,,
SWE,Sweden,60.128161,18.643501, 	-   , 	-   , 	-   , 	-   , 	-   ," 	114,175 "," 	114,175 ",,,,,
SWI,Switzerland,46.818188,8.227512, 	-   , 	-   , 	-   , 	-   , 	-   ," 	52,464 "," 	52,464 ",,,,,
SYR,Syrian Arab Rep.3,34.8020749999999,38.996815, 	-   , 	-   ," 	31,390 ", 	-   , 	-   ," 	117,902 "," 	149,292 ",,,,,
TJK,Tajikistan,38.861034,71.276093, 	-   , 	-   ," 	2,048 ", 	-   , 	-   , 	-   ," 	2,048 ",,,,,
THA,Thailand,15.870032,100.992541," 	135,442 ", 	-   ," 	1,057 ", 	-   , 	-   , 	-   ," 	136,499 ",,,,,
MCD,The former Yugoslav Republic of Macedonia,41.608635,21.745275, 	-   , 	-   , 	982 , 	-   , 	-   , 	-   , 	982 ,,,,,
TMP,Timor-Leste,-8.874217,125.727539, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
TOG,Togo,8.619543,0.824782," 	1,494 ", 	-   ," 	19,119 ", 	-   , 	-   , 	-   ," 	20,613 ",,,,,
TON,Tonga,-21.178986,-175.198242, 	-   , 	-   , 	3 , 	-   , 	-   , 	-   , 	3 ,,,,,
TRT,Trinidad and Tobago,10.691803,-61.222503, 	-   , 	-   , 	20 , 	-   , 	-   , 	-   , 	20 ,,,,,
TUN,Tunisia,33.886917,9.537499, 	-   , 	-   , 	629 , 	101 , 	-   , 	-   , 	730 ,,,,,
TCI,Turcs and Caicos Islands,21.694025,-71.797928, 	-   , 	-   , 	4 , 	-   , 	-   , 	-   , 	4 ,,,,,
TUR,Turkey,38.963745,35.243322," 	215,775 ", 	-   ," 	394,050 ", 	-   , 	-   , 	113 ," 	609,938 ",,,,,
TKM,Turkmenistan,38.969719,59.556278, 	-   , 	-   , 	45 , 	-   , 	-   , 	-   , 	45 ,,,,,
UGA,Uganda,1.373333,32.290275," 	11,986 ", 	-   ," 	208,569 ", 	-   , 	-   , 	-   ," 	220,555 ",,,,,
UKR,Ukraine,48.379433,31.16558, 	-   , 	-   ," 	2,968 ", 	-   , 	-   , 	-   ," 	2,968 ",,,,,
UAE,United Arab Emirates,23.424076,53.847818, 	-   , 	-   , 	603 , 	-   , 	-   , 	-   , 	603 ,,,,,
GBR,United Kingdom,55.378051,-3.435973, 	-   , 	-   , 	-   , 	-   , 	-   ," 	126,055 "," 	126,055 ",,,,,
TAN,United Rep. of Tanzania,-34.947896,138.581284," 	68,888 ", 	-   ," 	22,231 "," 	10,975 ", 	5 , 	-   ," 	102,099 ",,,,,
USA,United States of America,37.09024,-95.712891, 	-   , 	-   , 	-   , 	-   , 	-   ," 	263,662 "," 	263,662 ",,,,,
URU,Uruguay,-32.522779,-55.765835, 	-   , 	-   , 	203 , 	-   , 	-   , 	-   , 	203 ,,,,,
UZB,Uzbekistan,41.377491,64.585262, 	-   , 	-   , 	141 , 	-   , 	-   , 	-   , 	141 ,,,,,
VAN,Vanuatu,-15.376706,166.959158, 	-   , 	-   , 	2 , 	-   , 	-   , 	-   , 	2 ,,,,,
VEN,Venezuela (Bolivarian Rep. of),6.42375,-66.58973, 	-   , 	-   ," 	204,340 ", 	-   , 	-   , 	-   ," 	204,340 ",,,,,
SRV,Viet Nam,14.058324,108.277199, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
YEM,Yemen,15.552727,48.516388," 	16,816 ", 	-   ," 	224,472 ", 	-   , 	-   , 	-   ," 	241,288 ",,,,,
ZAM,Zambia,-13.133897,27.849332," 	11,815 ", 	-   ," 	6,179 "," 	5,600 ", 	-   , 	-   ," 	23,594 ",,,,,
ZIM,Zimbabwe,-19.015438,29.154857," 	5,357 ", 	-   ," 	1,032 ", 	-   , 	-   , 	-   ," 	6,389 ",,,,,
